TR:mock:CellLine,TR:Basal,TR:dJNK,TR:APAP,TR:SP6,DA:PKCa,DA:AMPK,DA:JNK,DA:JunD,DV:PKCa,DV:AMPK,DV:JNK,DV:JunD
1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,10,10,10,10,0.3,0.4,0.2,1.0
1,1,1,0,0,10,10,10,10,0.4,0.3,0.4,0.6
1,1,0,1,0,10,10,10,10,1.0,0.3,0.8,0.4
1,1,1,1,0,10,10,10,10,0.95,0.4,1.0,0.1
1,1,0,1,1,10,10,10,10,0.9,1.0,0.3,NaN
1,1,1,1,1,10,10,10,10,0.85,0.7,0.3,NaN
