TR:mock:CellLine,TR:PTEN,TR:CCl4,DA:STAT3,DA:AKT,DA:ERK,DA:Jnk,DA:CellDeath,DV:STAT3,DV:AKT,DV:ERK,DV:Jnk,DV:CellDeath
1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,2,2,2,2,2,0,0,0,0,0
1,1,1,2,2,2,2,2,1.000,0.725,1.000,1.000,0.000
