TR:mock:CellLine,TR:Basal,TR:KO_KEAP1,TR:KO_NFE2L2,TR:KO_NQO1,DA:SRXN1,DA:NQO1,DA:MDM2,DA:p21,DA:p53,DV:SRXN1,DV:NQO1,DV:MDM2,DV:p21,DV:p53
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,10,10,10,10,10,0.20,0.75,1.00,0.33,0.70
1,1,1,0,0,10,10,10,10,10,1.00,1.00,0.80,1.00,1.00
1,1,1,1,0,10,10,10,10,10,NA,NA,NA,0.70,0.85
1,1,1,0,1,10,10,10,10,10,NA,NA,NA,0.80,NA
